PROVIDER_ID|PROVIDER_NPI_NUMBER|PROVIDER_NAME|SUPPLIER_NAME
P1008842|1821052739|ALDO A CALVO|BH PHYSICIANS MAIN
P2009590|1770825523|MEGHAN BROOKING|SOUTH FL ENT ASSOCS PA
P1006057|1972577856|LANE A DEYOE|BETHESDA IMAGING
P1002584|1144385592|AUSBERTO HIDALGO|SOUTH FLORIDA URGENT CARE CENTER LLC
P1002584|1144385592|AUSBERTO HIDALGO|ATLANTIS PEDIATRIC ASSOC
P1002966|1144369562|MARC B TESCHER|TESCHER EYE CENTER
P1002966|1144369562|MARC B TESCHER|MARC TESCHER
P1008447|1245277011|ROY WHITTINGHAM|MEMORIAL EKG ASSOCIATES
P1007261|1366420754|KENNETH MACK|FL HOSP MEDICINE SVCS
P1035147|1902951742|ANDRES F SOSA|PEDRO SEVILLA LLC
S1006954|1033195474|MD NOW MEDICAL CENTERS, INC.|MD NOW MEDICAL CENTERS, INC.
P1012969|1962490631|MIKE CUSNIR|MSMC ONCOLOGY LLC
P1012969|1962490631|MIKE CUSNIR|PHYSICIAN PRAC OF MSMC
P1003234|1831154202|MITCHELL S WHITEMAN|MITCHELL S WHITEMAN
P1003234|1831154202|MITCHELL S WHITEMAN|RADIOLGY ASSOC OF FL, PA
P1000397|1104810811|ROBERT B CONTRUCCI|ROBERT B CONTUCCI DO PA
P1010001|1780648220|STEPHEN TANNENBAUM|21ST CENTURY ONC LLC
P1031421|1578723524|ZAEL VAZQUEZ|MEMORIAL HEALTHCARE SYST
P1006231|1720057987|ALFONSO MONGE|PRIMEHEALTH PHYSICIANS
P1015727|1447268776|ROBERTO MALDONADO|RADIOLOGY ASC OF HOLLYWO
S1034279|1518945575|SOUTH FLORIDA MEDICAL IMAGING|SOUTH FLORIDA MEDICAL IMAGING
P1041854|1851605661|FELIPE N ALBUQUERQUE|HOLY CROSS MEDICAL GROUP
P1018733|1487855649|RISHI G ANAND|HOLY CROSS MEDICAL GROUP
P1022922|1528225638|CARLOS PEREZ|TOTAL MEDICAL LLC
P1018078|1265414338|PRASUNA INAMPUDI|RADIOLOGY ASSOCIATES OF SOUTH FL
P1025746|1528208915|ANITA J MEDINA|ILLUMINA MEDICAL CENTERS
P1025746|1528208915|ANITA J MEDINA|MYCARE MEDICAL
P1018419|1043475684|ESTHER AMADOR-DELVALL|PHYSICIAN PRAC OF MSMC
P1018419|1043475684|ESTHER AMADOR-DELVALL|BEACH MEDICAL ASSOCIATES
P1038076|1205114360|JOSE E COLLADO PERALT|HOLY CROSS MEDICAL GROUP
P1005821|1639165400|LANCE LEHMANN|PAIN CONSULTANTS OF FL
P1076947|1518200401|ANDREA RODRIGUEZ|PHYSICIAN PRAC OF MSMC
P1007876|1396758074|JORGE FLORES|JORGE A FLORES
P1001953|1689613986|RICHARD M ROSEN|ASSOCIATESMD MEDICAL GRO
P1002097|1861577025|DAVID I OLINSKY|ASSOC IN FAM PRCT /BRWD
P1002097|1861577025|DAVID I OLINSKY|DAVID OLINSKY DPM
P1026322|1851525984|JOSEPH MELENDEZ DAVID|ZZMEMORIAL DIVISION OF GENERAL SURGERY
P1031612|1598184996|CRYSTAL REGO|PHYSICIAN PRAC OF MSMC
P1078670|1033142591|ADENS PREVILON|MARIO MAGCALAS MD PA
P1011234|1609862408|RUBEN D PENARANDA|PULMONARY PHYS OF S FLA
P1014730|1104803436|MICHAEL A ROGOFF|S FL INTERVENTIONAL RAD
P1013676|1194820944|JORGE AJURIA|THE KIDNEY GROUP OF S FL
S1001230|1134102080|MEMORIAL HOSPITAL-WEST|MEMORIAL HOSPITAL-WEST
P1034742|1811399793|EVANY RODRIGUEZ|MT SINAI MED CTR UROLOGY
P1020288|1326104803|FELIX D TORRES|VISION UNLIMITED WESTON
P1043838|1578503538|ALAN NIEDER|MT SINAI MED CTR UROLOGY
P1026752|1043419351|AMER A HANANO|AMER A HANANO
S1001340|1639197395|HOLY CROSS HOSPITAL INC|HOLY CROSS HOSPITAL INC
P1047811|1093742504|CLAUDIA E PENALBA|MIAMI REHAB GROUP
P1013640|1477567642|MICHAEL MALLIS|MEMORIAL HEALTHCARE SYST
P1013640|1477567642|MICHAEL MALLIS|S FL SURGICAL SPECIALIST
S1004496|1356540710|LAB ONE INCORPORATED|LAB ONE INCORPORATED
P1001916|1366536708|WAYNE G RISKIN|CHARLES KAHN & WAYNE RIS
P1019885|1790977171|CARLO A MESSINA|PODIATRY NETWORK SOLUTIONS OF FLORIDA LLC
P1010462|1700853884|PAUL E DAMSKI|NEUROSCIENCE CONSULTANTS
P1002978|1184658866|ALFONSO O TOLENTINO|MT SINAI MED CTR CARD
P1024222|1326305194|ALEXANDER PATSIORNIK|MEMORIAL HEALTHCARE SYST
S1001107|1679660617|UNIVERSITY OF MIAMI HOSP & CLINICS|UNIVERSITY OF MIAMI HOSP & CLINICS
S1006314|1437127529|BAPTIST OUTPATIENT SERVICES, INC.|BAPTIST OUTPATIENT SERVICES, INC.
P1024519|1629396486|LUIS A ARIAS URDANETA|CARLOS A SESIN MD PA
P1067555|1033469945|MARILYN ZUNIGA|CTR EXCELLENCE EYE CARE
P1022617|1154552537|ANDREA P AEDO|PODIATRIC ASSOCIATES
S1034890|1750387999|RADIOLOGY CONSULTANTS OF IOWA PLC|RADIOLOGY CONSULTANTS OF IOWA PLC
P1043441|1962498782|LUIS VILLANI|POOLE AND VILLANI MDS PA
P1002584|1144385592|AUSBERTO HIDALGO|PALM SPRINGS PED ASSOC
P1002966|1144369562|MARC B TESCHER|MARC TESCHER OD PA
P1024756|1538206933|S M RAHMAN|CL BRUMBACK PRIMARY CARE
P1035244|1477548295|IAN RUSSINOFF|CLEVELAND CLINIC- FLORIDA
P1012520|1497715387|SERGIO L PINSKI|CLEVELAND CLINIC- FLORIDA
P1008447|1245277011|ROY WHITTINGHAM|PINES CARDIOLOGY INC
P1018117|1932314960|MERRICK D ELIAS|WATERS EDGE DERMATOLOGY
P1047301|1801805734|ARISTIDES ZACHAROUDIS|ARISTIDES ZACHAROUDIS PA
P1081282|1326205816|NATASHA M YOUSAF|HOSPITALIST MED PHYS FL
P1008937|1033115233|SCOTT SKORUPA|RADIOLOGY ASC OF HOLLYWO
P1003234|1831154202|MITCHELL S WHITEMAN|PARKWAY DIAGNOSTIC CTR
P1007181|1679560130|LESLEY A WARREN|PODIATRY NETWORK SOLUTIONS OF FLORIDA LLC
P1031421|1578723524|ZAEL VAZQUEZ|PULMONARY PHYS OF S FLA
P1000920|1396758108|FRANK SORHAGE|LAUDERDALE CRITICAL CARE SERVICES
P1012998|1942239231|MIRTA CAMINERO|CHILDREN'S SKIN CENTER
P1023166|1235372061|ADRIAN AKHAVAN|PODIATRY NETWORK SOLUTIONS OF FLORIDA LLC
P1003386|1871577221|ISAAC LEVY|New Century Health
P1041854|1851605661|FELIPE N ALBUQUERQUE|HOLY CROSS MEDICAL GROUP
P1018733|1487855649|RISHI G ANAND|HOLY CROSS MEDICAL GROUP
P1022922|1528225638|CARLOS PEREZ|SEPA DORAL LLC
P1023948|1699715912|STEVEN CHRISTIE|BAPTIST HLTH MED GRP ONC
P1025746|1528208915|ANITA J MEDINA|FL HOSP MEDICINE SVCS
P1018419|1043475684|ESTHER AMADOR-DELVALL|FL HOSP MEDICINE SVCS
P1007176|1669572400|MITCHELL B COHEN|MIRAMAR EKG READERS INC
P1002097|1861577025|DAVID I OLINSKY|ASSOCIATESMD MEDICAL GRO
P1021277|1922337211|ROOSEVELT A DE LOS SANTOS|PEDIATRIC ASSOCIATES OF TAMPA BAY, LLC
P1004405|1720037690|PABLO H VIVAS|CARDIOLOGY ASSO MIAMI BC
P1036631|1245460526|CHRISTIAN O KOELBL|MT SINAI MED CTR CARD
P1026322|1851525984|JOSEPH MELENDEZ DAVID|MEMORIAL HEALTHCARE SYST
P1014730|1104803436|MICHAEL A ROGOFF|MICHAEL A ROGOFF
P1034709|1235672585|SULAIMAN ALHUMAID|UMIAMI MEDICINE OPHTHALMOLOGY NAPLES
S1037576|1821475179|MIAMI ANESTHESIA SERVICES LLC|MIAMI ANESTHESIA SERVICES LLC
P1020288|1326104803|FELIX D TORRES|NEW VISION UNLIMITED LLC
P1012229|1609826825|ERIC F CILIBERTI|ERIC F CILIBERTI
P1024107|1497742225|JOSE L BAEZ ESCUDERO|CLEVELAND CLINIC- FLORIDA
P2009449|1457487472|JAMES ZELCH|ASSOCIATESMD MEDICAL GRO
P1007324|1730126095|SELBOURNE C GOODE|MERIDIAN BEHAVIORAL ALLIED PROVIDERS
P1007923|1184789943|LORENA LEWY-ALTERBAUM|ALTERBAUM & LEWY-ALTERBA
P1042187|1346203304|JOSE R ALVAREZ|W BROWARD PULMONARY CONS
P1080023|1760844997|DOLORES PRUDENT|PHYSICIAN PRAC OF MSMC
S1033936|1518126499|HOLY CROSS MED GRP PATHOLOGY|HOLY CROSS MED GRP PATHOLOGY
P1024646|1700048501|GEETHA VEDULA|RETINA MACULA SPECIALISTS OF MIAMI LLC
P2005709|1801240270|ARIANA BELSKY|GASTRO HEALTH PL
P1013640|1477567642|MICHAEL MALLIS|MEMORIAL HEALTHCARE SYST
S1007108|1023022019|GENESIS MEDICAL LAB CORP|GENESIS MEDICAL LAB CORP
S1034743|1306878210|SOUTH MIAMI CRITICARE, INC.|SOUTH MIAMI CRITICARE, INC.
S1029333|1760049985|ZZMEMORIAL SAME DAY SURG|ZZMEMORIAL SAME DAY SURG
P1049555|1871552356|MOHAMMED S ARZU|AMERICAN PHYSICIANS INC
S1034631|1639150071|MIAMI BEACH ANESTHESIOLOGY ASSOC|MIAMI BEACH ANESTHESIOLOGY ASSOC
P1077095|1891270781|MIRLANDE B CAZEAU|CLEVELAND CLINIC- FLORIDA

(442 rows affected)


Completion time: 2023-03-02T09:22:28.3803400-05:00
